,Year of car manufacture,Width,Color,kilometer driven,Transmission type,price,Body type,Length,Brand Name,Fuel type,city,Seats,Car model,Number of previous owners,Insurance Validity_value,Engine Displacement_value(cc)
0,2022,1790,Black,20000,Automatic,1150000.0,SUV,3995mm,Kia,Petrol,chennai,5.0,Kia Sonet,1,Third Party insurance,998
1,2015,1475mm,Grey,20687,Manual,415000.00000000006,Minivans,3675mm,Maruti,Petrol,chennai,7.0,Maruti Eeco,1,Comprehensive,1196
2,2021,1758,Others,30000,Manual,750000.0,SUV,3994mm,Nissan,Petrol,chennai,5.0,Nissan Magnite,1,Third Party insurance,999
3,2015,1595mm,Silver,59247,Manual,398000.0,Hatchback,3585mm,Hyundai,Petrol,chennai,5.0,Hyundai i10,1,Comprehensive,1086
4,2015,1694mm,Others,50000,Manual,550000.0,Hatchback,3955mm,Honda,Petrol,chennai,5.0,Honda Jazz,1,Third Party insurance,1199
5,2016,2071mm,White,20000,Automatic,3300000.0,Sedan,4879mm,Mercedes-Benz,Diesel,chennai,5.0,Mercedes-Benz E-Class,1,Comprehensive,2143
6,2016,1635mm,Blue,29403,Automatic,453000.0,Hatchback,3715mm,Maruti,Petrol,chennai,5.0,Maruti Celerio,1,Comprehensive,998
7,2010,1600mm,Grey,42700,Manual,285000.0,Hatchback,3500mm,Maruti,Petrol,chennai,5.0,Maruti A-Star,1,Comprehensive,998
8,2018,1891mm,Grey,23001,Automatic,5000000.0,SUV,4708mm,BMW,Diesel,chennai,5.0,BMW X3,1,Comprehensive,1995
9,2018,1765mm,Black,25925,Automatic,821000.0000000001,SUV,3998mm,Ford,Petrol,chennai,5.0,Ford Ecosport,2,Comprehensive,1497
10,2021,1775mm,Blue,20000,Manual,865000.0,Hatchback,3995mm,Hyundai,Petrol,chennai,5.0,Hyundai i20,1,Third Party insurance,1197
11,2019,1694 mm,Silver,17711,Automatic,792000.0,Hatchback,3955 mm,Honda,Petrol,chennai,5.0,Honda Jazz,1,Comprehensive,1199
12,2020,1827mm,White,50000,Automatic,4050000.0,Sedan,4709mm,BMW,Diesel,chennai,5.0,BMW 3 Series,1,Comprehensive,1995
13,2018,1735mm,Others,50000,Manual,610000.0,Hatchback,3840mm,Maruti,Petrol,chennai,5.0,Maruti Swift,1,Third Party insurance,1197
14,2018,1660mm,White,51125,Manual,511000.00000000006,Hatchback,3765mm,Hyundai,Petrol,chennai,5.0,Hyundai Grand i10,2,Comprehensive,1197
15,2019,1811mm,Orange,69233,Manual,710000.0,SUV,3994mm,Tata,Diesel,chennai,5.0,Tata Nexon,1,Comprehensive,1497
16,2017,1818mm,White,65000,Manual,1225000.0,SUV,4405mm,Jeep,Diesel,chennai,5.0,Jeep Compass,1,Comprehensive,1956
17,2014,1695mm,Brown,93281,Manual,570000.0,Sedan,4440mm,Honda,Petrol,chennai,5.0,Honda City,1,Comprehensive,1497
18,2022,1855mm,White,18000,Manual,3900000.0,SUV,4795mm,Toyota,Diesel,chennai,7.0,Toyota Fortuner,1,Comprehensive,2755
19,2014,1680mm,White,99225,Manual,375000.0,Sedan,3990mm,Honda,Petrol,chennai,5.0,Honda Amaze,2,Comprehensive,1198
20,2016,1550mm,Others,30000,Manual,275000.0,Hatchback,3515mm,Hyundai,Petrol,chennai,5.0,Hyundai EON,1,Third Party insurance,998
21,2014,1680mm,Silver,30602,Manual,429000.0,Sedan,3990mm,Honda,Petrol,chennai,5.0,Honda Amaze,1,Comprehensive,1198
22,2018,1735mm,Red,64500,Manual,675000.0,Hatchback,3840mm,Maruti,Diesel,chennai,5.0,Maruti Swift,1,Comprehensive,1248
23,2017,1695mm,White,46809,Manual,793000.0,Sedan,4440mm,Honda,Petrol,chennai,5.0,Honda City,2,Comprehensive,1497
25,2019,1780mm,White,20000,Automatic,1425000.0,SUV,4270mm,Hyundai,Diesel,chennai,5.0,Hyundai Creta,1,Comprehensive,1582
26,2020,1770 mm,Red,21725,Automatic,1036000.0,SUV,3995 mm,Hyundai,Petrol,chennai,5.0,Hyundai Venue,1,Third Party,998
27,2016,1695mm,Others,80000,Manual,800000.0,Sedan,4440mm,Honda,Petrol,chennai,5.0,Honda City,1,Third Party insurance,1497
28,2013,2086mm,Blue,88000,Automatic,1400000.0,Sedan,4915mm,Audi,Petrol,chennai,5.0,Audi A6,2,Third Party insurance,1984
29,2019,1695mm,Black,30360,Automatic,1088000.0,Sedan,4440mm,Honda,Petrol,chennai,5.0,Honda City,2,Third Party,1497
30,2017,1745mm,Others,70000,Automatic,590000.0,Hatchback,3995mm,Maruti,Petrol,chennai,5.0,Maruti Baleno,2,Third Party insurance,1197
31,2016,1660mm,Red,16246,Manual,568000.0,Hatchback,3765mm,Hyundai,Petrol,chennai,5.0,Hyundai Grand i10,1,Comprehensive,1197
32,2017,1600mm,White,55000,Automatic,400000.0,Hatchback,3600mm,Maruti,Petrol,chennai,5.0,Maruti Celerio,2,Comprehensive,998
33,2022,1830mm,White,13000,Automatic,2790000.0,MUV,4735mm,Toyota,Petrol,chennai,7.0,Toyota Innova Crysta,1,Comprehensive,2694
34,2016,1635mm,Red,71638,Automatic,422000.0,Hatchback,3715mm,Maruti,Petrol,chennai,5.0,Maruti Celerio,2,Third Party,998
35,2015,1680mm,White,46105,Manual,450000.0,Sedan,3990mm,Honda,Petrol,chennai,5.0,Honda Amaze,1,Comprehensive,1198
36,2017,1734mm,Others,60000,Manual,650000.0,SUV,3999mm,Honda,Petrol,chennai,5.0,Honda WR-V,1,Third Party insurance,1199
37,2017,1694mm,Others,80000,Manual,575000.0,Hatchback,3955mm,Honda,Diesel,chennai,5.0,Honda Jazz,1,Third Party insurance,1498
38,2015,2010mm,Grey,58000,Automatic,1950000.0,Hatchback,4359mm,Mercedes-Benz,Diesel,chennai,5.0,Mercedes-Benz B Class,1,Comprehensive,2143
39,2008,1575mm,Silver,70000,Manual,150000.0,Sedan,4095mm,Maruti,Petrol,chennai,5.0,Maruti Esteem,2,Third Party insurance,1298
