,Year of car manufacture,Width,Color,kilometer driven,Transmission type,price,Body type,Length,Brand Name,Fuel type,city,Seats,Car model,Number of previous owners,Insurance Validity_value,Engine Displacement_value(cc)
0,2022,139,8,20000,0,1150000.0,7,101,13,4,5,5.0,100,1,5,998
1,2015,22,57,20687,1,415000.00000000006,5,39,20,4,5,7.0,145,1,2,1196
2,2021,118,86,30000,1,750000.0,7,98,24,4,5,5.0,197,1,5,999
3,2015,38,116,59247,1,398000.0,2,26,9,4,5,5.0,82,1,2,1086
4,2015,70,86,50000,1,550000.0,2,82,8,4,5,5.0,61,1,5,1199
5,2016,267,138,20000,0,3300000.0,8,345,21,1,5,5.0,174,1,2,2143
6,2016,44,9,29403,0,453000.0,2,45,20,4,5,5.0,142,1,2,998
7,2010,39,57,42700,1,285000.0,2,16,20,4,5,5.0,135,1,2,998
8,2018,216,57,23001,0,5000000.0,7,300,1,1,5,5.0,18,1,2,1995
9,2018,123,8,25925,0,821000.0000000001,7,102,6,4,5,5.0,47,2,2,1497
10,2021,130,9,20000,1,865000.0,2,101,9,4,5,5.0,83,1,5,1197
11,2019,69,116,17711,0,792000.0,2,81,8,4,5,5.0,61,1,2,1199
12,2020,177,138,50000,0,4050000.0,8,301,1,1,5,5.0,11,1,2,1995
13,2018,103,86,50000,1,610000.0,2,68,20,4,5,5.0,158,1,5,1197
14,2018,52,138,51125,1,511000.00000000006,2,51,9,4,5,5.0,72,2,2,1197
15,2019,156,84,69233,1,710000.0,7,98,29,1,5,5.0,237,1,2,1497
16,2017,165,138,65000,1,1225000.0,7,186,12,1,5,5.0,94,1,2,1956
17,2014,73,14,93281,1,570000.0,8,203,8,4,5,5.0,58,1,2,1497
18,2022,197,138,18000,1,3900000.0,7,317,30,1,5,7.0,252,1,2,2755
19,2014,60,138,99225,1,375000.0,8,93,8,4,5,5.0,54,2,2,1198
20,2016,32,86,30000,1,275000.0,2,17,9,4,5,5.0,69,1,5,998
21,2014,60,116,30602,1,429000.0,8,93,8,4,5,5.0,54,1,2,1198
22,2018,103,110,64500,1,675000.0,2,68,20,1,5,5.0,158,1,2,1248
23,2017,73,138,46809,1,793000.0,8,203,8,4,5,5.0,58,2,2,1497
24,2019,134,138,20000,0,1425000.0,7,142,9,1,5,5.0,68,1,2,1582
25,2020,126,110,21725,0,1036000.0,7,100,9,4,5,5.0,79,1,4,998
26,2016,73,86,80000,1,800000.0,8,203,8,4,5,5.0,58,1,5,1497
27,2013,270,9,88000,0,1400000.0,8,355,0,4,5,5.0,4,2,5,1984
28,2019,73,8,30360,0,1088000.0,8,203,8,4,5,5.0,58,2,4,1497
29,2017,110,86,70000,0,590000.0,2,101,20,4,5,5.0,139,2,5,1197
30,2016,52,110,16246,1,568000.0,2,51,9,4,5,5.0,72,1,2,1197
31,2017,39,138,55000,0,400000.0,2,30,20,4,5,5.0,142,2,2,998
32,2022,180,138,13000,0,2790000.0,4,307,30,4,5,7.0,256,1,2,2694
33,2016,44,110,71638,0,422000.0,2,45,20,4,5,5.0,142,2,4,998
34,2015,60,138,46105,1,450000.0,8,93,8,4,5,5.0,54,1,2,1198
35,2017,100,86,60000,1,650000.0,7,103,8,4,5,5.0,64,1,5,1199
36,2017,70,86,80000,1,575000.0,2,82,8,1,5,5.0,61,1,5,1498
37,2015,249,57,58000,0,1950000.0,2,166,21,1,5,5.0,170,1,2,2143
38,2008,35,116,70000,1,150000.0,8,123,20,4,5,5.0,147,2,5,1298
39,2017,110,57,61764,0,702000.0,2,101,20,4,5,5.0,139,1,4,1197
40,2016,87,84,36018,1,448000.00000000006,7,39,17,4,5,6.0,119,2,5,1198
41,2016,173,86,150000,0,650000.0,7,157,27,1,5,5.0,208,1,5,1461
42,2022,59,8,17197,1,801000.0,2,62,9,4,5,5.0,73,1,4,998
43,2016,73,14,62931,0,772000.0,8,203,8,4,5,5.0,58,2,2,1497
44,2013,131,86,90000,1,500000.0,8,261,30,4,5,5.0,248,2,5,1798
45,2021,170,110,21023,1,1103000.0,7,101,17,4,5,5.0,130,1,4,1197
46,2018,130,138,43000,1,1490000.0,8,261,30,1,5,5.0,248,1,2,1364
47,2017,103,116,110505,0,627000.0,8,101,20,1,5,5.0,159,1,5,1248
48,2018,93,116,78892,1,835000.0,8,203,9,4,5,5.0,80,1,5,1591
49,2015,209,138,59000,0,2090000.0,8,359,0,1,5,5.0,4,1,5,1968
50,2014,67,138,90058,1,350000.0,8,137,2,4,5,5.0,29,1,2,1199
51,2015,271,138,69000,0,2100000.0,7,265,0,1,5,5.0,7,1,5,2967
52,2019,100,110,67000,1,925000.0,7,103,8,1,5,5.0,64,1,2,1498
53,2017,96,86,80000,1,850000.0,8,219,20,1,5,5.0,144,1,5,1248
54,2017,96,86,80000,1,850000.0,8,219,20,1,5,5.0,144,1,5,1248
55,2020,303,138,57000,0,6600000.0,7,375,0,1,5,7.0,8,1,2,2967
56,2018,180,8,800000,1,2150000.0,4,307,30,1,5,8.0,256,1,2,2393
57,2018,253,9,5500000,0,3600000.0,8,287,21,1,5,5.0,171,1,2,2143
58,2017,293,138,27000,0,6800000.0,8,392,1,1,5,5.0,16,1,2,2993
59,2018,156,116,38334,1,707000.0,7,98,29,4,5,5.0,237,1,2,1198
60,2019,61,110,36992,1,680000.0,2,84,31,4,5,5.0,264,1,5,999
61,2016,271,110,50000,0,3750000.0,7,277,1,1,5,5.0,18,2,2,2993
62,2021,220,116,34596,0,2039000.0,7,281,29,1,5,6.0,236,1,2,1956
63,2019,45,138,84564,1,401000.0,2,55,4,4,5,5.0,34,1,4,1198
64,2013,196,116,60001,0,2150000.0,8,345,21,1,5,5.0,174,2,2,2143
65,2018,48,138,23462,1,505000.0,2,31,9,4,5,5.0,75,1,6,1086
66,2022,120,110,13000,0,1599000.0,7,131,31,4,5,5.0,266,1,5,999
67,2019,73,110,54658,0,830000.0000000001,8,101,8,1,5,5.0,54,1,2,1498
68,2020,170,56,34164,1,1036000.0,7,101,17,4,5,5.0,130,1,4,1197
69,2022,148,55,10000,1,1595000.0,7,157,13,4,5,5.0,99,1,5,1497
70,2010,64,110,70000,1,100000.0,2,88,5,4,5,5.0,42,3,5,1368
71,2020,126,9,37000,1,825000.0,7,100,9,4,5,5.0,79,1,5,1197
72,2016,110,9,53967,1,550000.0,2,101,20,4,5,5.0,139,1,2,1197
73,2011,38,110,52700,1,299000.0,2,26,9,4,5,5.0,82,1,2,1197
74,2018,156,86,60000,0,750000.0,7,98,29,4,5,5.0,237,1,5,1198
75,2016,110,9,53967,1,550000.0,2,101,20,4,5,5.0,139,1,2,1197
76,2014,73,129,99225,1,375000.0,8,101,8,4,5,5.0,54,2,2,1199
77,2011,11,116,60000,1,265000.0,8,112,5,4,5,5.0,40,2,5,1368
78,2020,68,110,48220,0,808000.0,2,91,8,4,5,5.0,61,1,4,1199
79,2016,70,110,72024,1,542000.0,2,82,8,4,5,5.0,61,1,5,1199
80,2016,60,86,80000,0,529000.0,8,93,8,4,5,5.0,54,1,5,1198
81,2017,61,8,78735,1,684000.0,2,84,31,4,5,5.0,264,1,4,1199
82,2018,123,110,72955,1,813000.0000000001,7,102,6,1,5,5.0,47,2,6,1498
83,2015,96,86,40000,0,650000.0,8,219,20,4,5,5.0,144,1,5,1373
84,2021,165,57,14037,1,1802000.0,7,186,12,4,5,5.0,94,1,2,1368
85,2019,100,116,29000,1,745000.0,2,87,9,4,5,5.0,83,1,2,1197
86,2017,110,116,69864,1,619000.0,2,101,20,4,5,5.0,139,1,5,1197
87,2019,52,116,35739,1,650000.0,8,101,9,4,5,5.0,81,1,5,1197
88,2016,70,86,120000,0,500000.0,2,82,8,4,5,5.0,61,2,5,1199
89,2019,73,116,18000,1,1145000.0,4,149,20,1,5,7.0,146,1,2,1248
90,2019,220,84,21000,1,1600000.0,7,256,29,1,5,5.0,228,1,2,1956
91,2016,110,57,70404,1,540000.0,2,101,20,4,5,5.0,139,1,2,1197
92,2015,76,8,63000,1,675000.0,8,181,31,4,5,5.0,269,1,2,1598
93,2017,61,138,88000,1,510000.0,8,101,31,4,5,5.0,260,2,5,1198
94,2017,73,116,65000,1,830000.0000000001,8,203,8,4,5,5.0,58,1,2,1497
95,2017,298,110,30000,0,3900000.0,7,257,14,1,5,7.0,103,2,5,2179
96,2012,73,50,71423,0,510000.0,8,203,8,4,5,5.0,58,1,2,1497
97,2019,130,86,80000,0,1200000.0,4,204,20,4,5,6.0,165,1,5,1462
98,2017,73,14,85759,1,766000.0,8,203,8,4,5,5.0,58,1,4,1497
99,2019,48,116,24422,1,449000.0,2,31,9,4,5,5.0,75,1,6,1086
100,2017,93,138,90000,1,750000.0,8,203,9,4,5,5.0,80,4,5,1591
101,2012,60,110,67091,1,317000.0,2,32,8,4,5,5.0,56,2,4,1198
102,2020,184,66,72787,1,1560000.0,7,274,16,4,5,5.0,113,1,4,1451
103,2017,199,86,120000,1,1900000.0,7,351,6,1,5,7.0,48,2,5,2198
104,2017,52,110,90142,1,522000.0,2,51,9,4,5,5.0,72,1,2,1197
105,2015,100,86,150000,1,500000.0,2,87,9,4,5,5.0,83,1,5,1197
106,2018,104,110,33256,1,627000.0,2,80,6,4,5,5.0,52,1,2,1194
107,2018,110,116,70027,0,687000.0,2,101,20,4,5,5.0,139,1,2,1197
108,2007,18,138,120000,1,205000.0,8,117,9,1,5,5.0,77,3,5,1991
109,2015,61,86,60000,1,525000.0,2,84,31,4,5,5.0,264,2,5,1199
110,2017,103,57,73686,1,620000.0,2,68,20,1,5,5.0,158,1,5,1248
111,2018,184,110,44000,1,825000.0,7,101,17,1,5,7.0,126,2,2,1493
112,2015,103,138,75581,1,530000.0,2,68,20,4,5,5.0,158,1,2,1197
113,2015,292,9,58000,0,3600000.0,7,323,21,1,5,5.0,183,1,2,2143
114,2015,239,89,50000,0,1950000.0,8,209,0,1,5,5.0,1,2,2,1968
115,2015,184,86,100000,1,650000.0,7,101,17,1,5,7.0,126,1,5,1493
116,2017,96,138,108902,1,650000.0,8,219,20,1,5,5.0,144,1,5,1248
117,2016,61,116,100425,1,570000.0,8,101,31,1,5,5.0,260,1,2,1498
118,2016,52,116,70887,1,458000.0,8,101,9,4,5,5.0,81,2,4,1197
119,2016,73,116,114981,1,577000.0,8,203,8,4,5,5.0,58,2,2,1497
120,2018,100,138,45000,1,900000.0,7,103,8,4,5,5.0,64,1,2,1199
121,2021,59,138,45416,1,649000.0,2,62,9,4,5,5.0,73,1,2,1197
